city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Isangel,VU,1612788450,-19.55,169.2667,75.2,94,20,3.42
Bandarbeyla,SO,1612788450,9.4942,50.8122,77.58,68,9,22.79
Faya,SA,1612788450,18.3851,42.4509,51.8,81,75,10.36
Tupik,RU,1612788450,54.4253,119.9327,-3.86,88,100,0.89
Hamilton,US,1612788155,39.1834,-84.5333,16.0,67,20,3.44
Maumere,ID,1612788451,-8.6199,122.2111,81.34,80,100,5.59
Khorixas,NA,1612788451,-20.3667,14.9667,95.41,19,98,9.73
Ürümqi,CN,1612788481,43.801,87.6005,15.8,86,20,2.24
Odienné,CI,1612788481,9.51,-7.5692,97.29,13,100,6.55
Kavaratti,IN,1612788482,10.5669,72.642,83.01,55,2,2.01
Port Lincoln,AU,1612788482,-34.7333,135.8667,63.73,76,62,15.52
George Town,MY,1612788482,5.4112,100.3354,84.2,74,40,9.22
Buena Vista,US,1612788482,43.4203,-83.8986,7.0,85,90,4.61
Bambous Virieux,MU,1612788482,-20.3428,57.7575,86.0,66,40,11.5
Norman Wells,CA,1612788483,65.282,-126.8329,-43.6,66,1,5.03
Kamenka,RU,1612788483,51.3223,42.7678,1.29,92,0,6.6
New Norfolk,AU,1612788483,-42.7826,147.0587,54.0,59,17,2.46
Itarema,BR,1612788483,-2.9248,-39.9167,85.91,65,16,11.59
Talnakh,RU,1612788483,69.4865,88.3972,1.58,92,100,9.95
Leningradskiy,RU,1612788483,69.3833,178.4167,-20.2,86,29,10.4
East London,ZA,1612788484,-33.0153,27.9116,75.2,60,0,16.11
Ancud,CL,1612788484,-41.8697,-73.8203,69.01,94,0,3.44
Santa Luzia,BR,1612788484,-19.7697,-43.8514,69.8,83,75,4.61
Iporá,BR,1612788484,-16.4419,-51.1178,75.58,81,39,2.57
Erdenet,MN,1612788484,49.0333,104.0833,8.08,88,0,4.29
Lamu,KE,1612788484,-2.2717,40.902,86.0,66,20,16.2
Fortuna,US,1612788485,40.5982,-124.1573,45.0,93,90,1.97
Yakima,US,1612788485,46.4665,-120.6678,32.0,74,20,3.44
Chapais,CA,1612788485,49.7834,-74.8492,-20.2,76,75,2.3
Asău,RO,1612788485,46.4333,26.4,34.0,100,90,8.05
Souillac,MU,1612788485,-20.5167,57.5167,86.0,66,40,11.5
